BDB,1813538,370749
CAS,49437,27419
DBK,9678,7362
DCL,3981,96
DUD,99782,99523
E15,15547091,15505269
EDB,310782,190204
EMO,25946988,24371544
ENA,1211723723,1040898169
FFI,1497,183
G13,977468301,972630373
G17,50000000,49991592
HOP,350,293
L1K,10141,0
MOS,1936962,1575413
PCH,97545266,47292789
QM9,133885,112513
REP,10141,0
SAV,265047097,264501875
SUR,17915384,1762705
ZIN,1225804829,1043191722
